iter	Passed	Remaining
570	1584	1190
571	1586	1187
572	1588	1184
573	1592	1181
574	1594	1178
575	1597	1175
576	1599	1172
577	1601	1169
578	1604	1166
579	1606	1163
580	1609	1160
581	1611	1157
582	1614	1154
583	1616	1151
584	1619	1148
585	1621	1145
586	1624	1142
587	1626	1139
588	1629	1136
589	1631	1133
590	1634	1130
591	1636	1127
592	1639	1124
593	1641	1122
594	1643	1119
595	1646	1116
596	1648	1112
597	1651	1109
598	1653	1106
599	1656	1104
600	1658	1101
601	1660	1098
602	1663	1095
603	1665	1092
604	1668	1089
605	1670	1086
606	1673	1083
607	1675	1080
608	1678	1077
609	1680	1074
610	1683	1071
611	1685	1068
612	1688	1065
613	1690	1062
614	1693	1059
615	1695	1056
616	1698	1054
617	1700	1051
618	1703	1048
619	1705	1045
620	1708	1042
621	1710	1039
622	1712	1036
623	1714	1033
624	1717	1030
625	1719	1027
626	1722	1024
627	1724	1021
628	1727	1018
629	1729	1015
630	1732	1013
631	1734	1010
632	1737	1007
633	1739	1004
634	1742	1001
635	1744	998
636	1746	995
637	1749	992
638	1751	989
639	1753	986
640	1755	983
641	1758	980
642	1761	978
643	1764	975
644	1766	972
645	1769	969
646	1771	966
647	1774	963
648	1777	961
649	1780	958
650	1782	955
651	1785	952
652	1787	949
653	1790	947
654	1792	944
655	1795	941
656	1797	938
657	1800	935
658	1802	932
659	1804	929
660	1807	926
661	1809	924
662	1812	921
663	1814	918
664	1816	915
665	1819	912
666	1821	909
667	1824	906
668	1826	903
669	1828	900
670	1831	897
671	1833	895
672	1836	892
673	1838	889
674	1841	886
675	1843	883
676	1845	880
677	1848	877
678	1851	875
679	1853	872
680	1855	869
681	1858	866
682	1860	863
683	1863	860
684	1866	858
685	1868	855
686	1871	852
687	1873	849
688	1875	846
689	1878	843
690	1880	841
691	1883	838
692	1885	835
693	1888	832
694	1890	829
695	1893	826
696	1895	824
697	1897	821
698	1900	818
699	1902	815
700	1904	812
701	1907	809
702	1909	806
703	1911	803
704	1914	801
705	1916	798
706	1919	795
707	1921	792
708	1923	789
709	1926	786
710	1928	783
711	1930	781
712	1933	778
713	1935	775
714	1938	772
715	1940	769
716	1943	766
717	1945	764
718	1947	761
719	1949	758
720	1952	755
721	1954	752
722	1957	749
723	1959	747
724	1962	744
725	1964	741
726	1966	738
727	1969	735
728	1971	733
729	1974	730
730	1976	727
731	1979	724
732	1981	721
733	1983	718
734	1986	716
735	1988	713
736	1991	710
737	1993	707
738	1996	704
739	1998	702
740	2001	699
741	2003	696
742	2006	693
743	2008	691
744	2011	688
745	2013	685
746	2016	682
747	2018	680
748	2021	677
749	2023	674
750	2025	671
751	2028	668
752	2030	666
753	2033	663
754	2035	660
755	2038	657
756	2040	655
757	2043	652
758	2045	649
759	2048	646
760	2050	644
761	2053	641
762	2055	638
763	2058	635
764	2060	632
765	2063	630
766	2065	627
767	2068	624
768	2070	621
769	2072	619
770	2075	616
771	2078	613
772	2080	611
773	2083	608
774	2085	605
775	2088	602
776	2090	600
777	2093	597
778	2095	594
779	2098	591
780	2100	588
781	2103	586
782	2105	583
783	2108	580
784	2110	578
785	2112	575
786	2115	572
787	2117	569
788	2120	567
789	2122	564
790	2125	561
791	2127	558
792	2130	556
793	2132	553
794	2134	550
795	2137	547
796	2139	545
797	2142	542
798	2144	539
799	2146	536
800	2149	533
801	2152	531
802	2154	528
803	2157	525
804	2159	523
805	2162	520
806	2164	517
807	2167	515
808	2169	512
809	2172	509
810	2174	506
811	2177	504
812	2179	501
813	2182	498
814	2185	496
815	2187	493
816	2189	490
817	2192	487
818	2194	485
